Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Carolyn Simmons,Kora Organics,Kora Organics - August 2019,Closed Lost,Q3-2019,,1/0/00,3,43700,43697,,Other Referral,,koraorganics.com
Equity Fund,Carolyn Simmons,Kitchen Crafted,Kitchen Crafted - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43720,43721,,Helio,,kitchencrafted.com
Equity Fund,Carolyn Simmons,bioBELLE,bioBELLE - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43721,43721,,Helio,,biobellecosmetics.com
Equity Fund,Carolyn Simmons,SoapSox,SoapSox - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43721,43721,,Helio,,soapsoxkids.com
Equity Fund,Carolyn Simmons,Karuna,Karuna - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43721,43721,,Helio,,karunaskin.com
Equity Fund,Carolyn Simmons,Fit Joy Nutrition,Fit Joy Nutrition - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43724,43724,,Helio,,fitjoyfoods.com
Equity Fund,Carolyn Simmons,Velour Lashes,Velour Lashes - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43725,43725,,Helio,,velourbeauty.com
Equity Fund,Carolyn Simmons,Stream2Sea,Stream2Sea - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43727,43727,,Helio,,stream2sea.com
Equity Fund,Carolyn Simmons,Vegamour,Vegamour - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43728,43728,,Investor Referral,,vegamour.com
Equity Fund,Carolyn Simmons,reina-rebelde,reina-rebelde - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43731,43731,,Helio,,reinarebelde.com
Equity Fund,Carolyn Simmons,RIND Snacks,RIND Snacks - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43732,43732,,,,rindsnacks.com
Equity Fund,Carolyn Simmons,Bohana,Bohana - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43732,43732,,,,bohanalife.com
Equity Fund,Carolyn Simmons,Oui Shave,Oui Shave - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43733,43733,,Helio,,ouishave.com
Equity Fund,Carolyn Simmons,Patchology,Patchology - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43733,43733,,,,patchology.com
Equity Fund,Carolyn Simmons,Omax,Omax - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43733,43733,,,,omaxhealth.com
Equity Fund,Carolyn Simmons,Brooklyn Botany,Brooklyn Botany - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43735,43735,,,,brooklynbotany.com
Equity Fund,Carolyn Simmons,Everyday,Everyday - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43735,43735,,Helio,,everyday-humans.com
Equity Fund,Carolyn Simmons,Yuni Beauty,Yuni Beauty - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43735,43735,,,,yunibeauty.com
Equity Fund,Carolyn Simmons,Howler Brothers,Howler Brothers - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43735,43735,,Helio,,howlerbros.com
Equity Fund,Carolyn Simmons,Howler Brothers,Howler Brothers - September 2019,Closed Lost,Q3-2019,,1/0/00,0,43735,43735,,,,howlerbros.com
Equity Fund,Carolyn Simmons,ROSEN Skincare,ROSEN Skincare - September 2019,Closed Passed,Q3-2019,,1/0/00,0,43735,43735,,Helio,,rosenskincare.com
Equity Fund,Carolyn Simmons,Carter and Jane,Carter and Jane - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43739,43739,,Helio,,carterandjane.com
Equity Fund,Carolyn Simmons,Better Bites Bakery,Better Bites Bakery - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43739,43739,,Helio,,betterbitesbakery.com
Equity Fund,Carolyn Simmons,Nohbo balls,Nohbo balls - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43739,43739,,Helio,,nohboball.com
Equity Fund,Carolyn Simmons,Fluide,Fluide - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43739,43739,,Helio,,fluide.us
Equity Fund,Carolyn Simmons,Marin Bee,Marin Bee - October 2019,Closed Passed,Q4-2019,10/6/44,1/0/00,0,43740,43740,,Helio,,marinbee.com
Equity Fund,Carolyn Simmons,Whom,Whom - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43740,43740,,Manual,,whomhome.com
Equity Fund,Carolyn Simmons,ZIIP Beauty,ZIIP Beauty - October 2019,Closed Lost,Q4-2019,,1/0/00,0,43742,43742,,Helio,,ziipbeauty.com
Equity Fund,Carolyn Simmons,Drink Ramona,Drink Ramona - October 2019,Closed Lost,Q4-2019,,1/0/00,0,43742,43742,,,,drinkramona.com
Equity Fund,Carolyn Simmons,Kevin Murphy,Kevin Murphy - October 2019,Closed Lost,Q4-2019,,1/0/00,0,43742,43742,,,,kevinmurphy.com.au
Equity Fund,Carolyn Simmons,Steep't Cocktails,Steep?t - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43745,43745,,,,steeptcocktails.com
Equity Fund,Carolyn Simmons,ANNA'S CIDER,ANNA'S CIDER - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43746,43746,,Helio,,annascider.com
Equity Fund,Carolyn Simmons,Matchabar,Matchabar - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43747,43747,,Referral from CircleUp Employee,,matchabar.co
Equity Fund,Carolyn Simmons,Cacao Beverages,Cacao Beverages - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43747,43747,,Helio,,repurposedpod.com
Equity Fund,Carolyn Simmons,Mortal Kombucha,Mortal Kombucha - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43749,43749,,Helio,,mortalkombucha.com
Equity Fund,Carolyn Simmons,Pairess,Pairess - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43752,43752,,Manual,,pairess.com
Equity Fund,Carolyn Simmons,Herbal Dynamics Beauty,Herbal Dynamics Beauty - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43752,43752,,Helio,,herbaldynamicsbeauty.com
Equity Fund,Carolyn Simmons,Field + Farmer,FIELD + FARMER - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43752,43752,,Helio,,fieldandfarmer.co
Equity Fund,Carolyn Simmons,East Imperial,East Imperial - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43752,43752,,Inbound,,eastimperial.com
Equity Fund,Carolyn Simmons,Evolve Snacking,Evolve Snacking - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43752,43752,,Inbound,,evolvesnacking.com
Equity Fund,Carolyn Simmons,8 Faces,8 Faces - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43753,43753,,,,8facesbeauty.com
Equity Fund,Carolyn Simmons,Gelato Boy,gelato boy - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43753,43753,,Helio,,gelatoboy.com
Equity Fund,Carolyn Simmons,Wild West,Wild West - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43753,43753,,,,wildwestferments.com
Equity Fund,Carolyn Simmons,Blue Evolution,Blue Evolution - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43753,43753,,,,blueevolution.com
Equity Fund,Carolyn Simmons,Tower28 Beauty,Tower28 Beauty - October 2019,Closed Lost,Q4-2019,,1/0/00,0,43754,43754,,,,tower28beauty.com
Equity Fund,Carolyn Simmons,Ogee,Ogee - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43754,43754,,Helio,,ogee.com
Equity Fund,Carolyn Simmons,Uqora,Uqora - October 2019,Closed Lost,Q4-2019,,1/0/00,0,43755,43755,,Manual,,uqora.com
Equity Fund,Carolyn Simmons,Fly By Jing,Fly By Jing - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43755,43755,,Inbound,,flybyjing.com
Equity Fund,Carolyn Simmons,CLE Cosmetics,CLE Cosmetics - October 2019,Closed Passed,Q4-2019,,1/0/00,5,43760,43755,,,,clecosmetics.com
Equity Fund,Carolyn Simmons,Grown Alchemist,Grown Alchemist - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43766,43766,,,,grownalchemist.com
Equity Fund,Carolyn Simmons,Noodie Foods,Noodie Foods - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43766,43766,,Manual,,noodiefoods.com
Equity Fund,Carolyn Simmons,Lua Skincare,Lua Skincare - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43766,43766,,,,luaskincare.com
Equity Fund,Carolyn Simmons,Perfectomundo,Perfectomundo - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43767,43767,,Inbound,,perfectomundotequila.com
Equity Fund,Carolyn Simmons,Cosmik,Cosmik - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43768,43768,,Manual,,cosmik.com
Equity Fund,Carolyn Simmons,Joya,Joya - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43768,43768,,Manual,,joya.ca
Equity Fund,Carolyn Simmons,Casamara Club,Casamara Club - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43768,43768,,,,casamaraclub.com
Equity Fund,Carolyn Simmons,Omega PowerCreamer,Omega PowerCreamer - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43768,43768,,Helio,,powercreamer.com
Equity Fund,Carolyn Simmons,victory dance foods,victory dance foods - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43768,43768,,Helio,,victorydancefoods.com
Equity Fund,Carolyn Simmons,Smalls,Smalls - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43769,43769,,,,smalls.com
Equity Fund,Carolyn Simmons,sweatWELLth,sweatWELLth - October 2019,Closed Passed,Q4-2019,,1/0/00,1,43769,43768,,,,sweatwellth.com
Equity Fund,Carolyn Simmons,Bird Seed,Bird Seed - October 2019,Closed Passed,Q4-2019,,1/0/00,0,43769,43769,,Manual,,birdseedfoodco.com
Equity Fund,Carolyn Simmons,Shhhower Cap,Shower Cap - October 2019,Closed Passed,Q4-2019,###############################################################################################################################################################################################################################################################,1/0/00,29,43769,43740,,Manual,,shhhowercap.com
Equity Fund,Carolyn Simmons,BOU Brands,BOU Brands - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43770,43770,,,,bouforyou.com
Equity Fund,Carolyn Simmons,Rawcology,Rawcology - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43770,43770,,,,rawcology.com
Equity Fund,Carolyn Simmons,y-et-beaute,y-et-beaute - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43770,43770,,,,yetbeaute.com
Equity Fund,Carolyn Simmons,Ezza Nails,Ezza Nails - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43770,43770,,,,ezzanails.com
Equity Fund,Carolyn Simmons,One Ocean Beauty,One Ocean Beauty - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43770,43770,,Helio,,oneoceanbeauty.com
Equity Fund,Carolyn Simmons,True Made Foods,True Made Foods - September 2019,Closed Passed,Q4-2019,,1/0/00,45,43770,43725,,Trade Show,,truemadefoods.com
Equity Fund,Carolyn Simmons,Sound,Sound - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43773,43773,,,,drinksound.com
Equity Fund,Carolyn Simmons,The Van Cleeve Seafood Co.,The Van Cleeve Seafood Co. - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43774,43774,,,,vancleeveseafood.com
Equity Fund,Carolyn Simmons,Fizzy Fox,Fizzy Fox - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43774,43774,,,,fizzyfoxshrub.com
Equity Fund,Carolyn Simmons,Protea,Protea - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43774,43774,,Manual,,drinkprotea.com
Equity Fund,Carolyn Simmons,Sweet Nothings,Sweet nothings - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43774,43782,,,,eatsweetnothings.com
Equity Fund,Carolyn Simmons,Cocojune,Cocojune - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43774,43774,,Helio,,cocojune.co
Equity Fund,Carolyn Simmons,Fabalish,Fabalish - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43774,43774,,,,fabalish.com
Equity Fund,Carolyn Simmons,Atlas Provisions,Atlas Provisions - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43775,43775,,Manual,,atlasprovisions.co
Equity Fund,Carolyn Simmons,Cherry Pick,Cherry Pick - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43775,43775,,,,cherrypickai.com
Equity Fund,Carolyn Simmons,Peach,Peach - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43775,43775,,Manual,,peachgoods.com
Equity Fund,Carolyn Simmons,Necessaire,Necessaire - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43776,43776,,Helio,,necessaire.com
Equity Fund,Carolyn Simmons,Natural Force,Natural Force - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43780,43780,,,,mynaturalforce.com
Equity Fund,Carolyn Simmons,superseed well,superseed well - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43780,43780,,,,superseedwell.com
Equity Fund,Carolyn Simmons,Uptown Naturals,Uptown Naturals - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43780,43780,,,,uptownperfumery.com
Equity Fund,Carolyn Simmons,Glow Flow Chefs,Glow Flow Chefs - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43781,43781,,,,shop.glowflowco.com
Equity Fund,Carolyn Simmons,Goldmine,Goldmine - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43781,43781,,,,drinkgoldmine.com
Equity Fund,Carolyn Simmons,Balance the Superfood Shot,Balance the Superfood Shot - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43781,43781,,Helio,,superfoodshot.co
Equity Fund,Carolyn Simmons,Montane Spring,Montane Spring - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43782,43782,,,,montanespring.com
Equity Fund,Carolyn Simmons,Cappello's,Cappello's - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43782,43782,,Other Referral,,cappellos.com
Equity Fund,Carolyn Simmons,Kane 11,Kane 11 - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43782,43782,,Other,,kane11.com
Equity Fund,Carolyn Simmons,Chum Fruit Bites,Chum Fruit Bites - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43783,43783,,Manual,,chumbites.com
Equity Fund,Carolyn Simmons,Way2B,Way2B - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43784,43784,,,,way2byou.com
Equity Fund,Carolyn Simmons,Tache,Tache - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43784,43784,,Other Referral,,pistachiomilk.com
Equity Fund,Carolyn Simmons,Barbari,Barbari - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43784,43784,,Manual,,barbarishop.com
Equity Fund,Carolyn Simmons,Joi,Joi - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43787,43787,,Helio,,addjoi.com
Equity Fund,Carolyn Simmons,Apothecary Company,Apothecary Company - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43787,43787,,,,apothecarycompany.com
Equity Fund,Carolyn Simmons,Sipp Sparkling Organics,Sipp Sparkling Organics - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43787,43787,,Helio,,haveasipp.com
Equity Fund,Carolyn Simmons,Grabanzos,Grabanzos - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43787,43787,,,,grabanzos.com
Equity Fund,Carolyn Simmons,Abilyns,Abilyns - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43787,43787,,Helio,,abilyns.com
Equity Fund,Carolyn Simmons,NuMilk,NuMilk - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43789,43789,,Relationship / Past CircleUp Company,,numilkfresh.com
Equity Fund,Carolyn Simmons,Cleveland Kitchen,Cleveland Kraut - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43789,43789,,,,clevelandkraut.com
Equity Fund,Carolyn Simmons,Year & Day,Year & Day - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43789,43789,,Investor Referral,,yearandday.com
Equity Fund,Carolyn Simmons,Zest Tea,Zest Tea - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43789,43789,,Helio,,zesttea.com
Equity Fund,Carolyn Simmons,Doozy Pots,Doozy Pots - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43789,43789,,,,wonderlabdoozy.com
Equity Fund,Carolyn Simmons,Rasa,Rasa - November 2019,Closed Lost,Q4-2019,,1/0/00,0,43789,43789,,,,wearerasa.com
Equity Fund,Carolyn Simmons,Zest Tea,Zest Tea - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43789,43789,,Helio,,zesttea.com
Equity Fund,Carolyn Simmons,Jack & Friends,Jack & Friends - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43789,43789,,,,jackandfriendsjerky.com
Equity Fund,Carolyn Simmons,positive pretzels,positive pretzels - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43790,43790,,,,positivepretzels.com
Equity Fund,Carolyn Simmons,Partake Foods,Partake Foods - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43790,43790,,Helio,,partakefoods.com
Equity Fund,Carolyn Simmons,Everbody,Everbody - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43791,43794,,,,everbody.com
Equity Fund,Carolyn Simmons,Olyra Foods,Olyra Foods - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43791,43794,,,,olyrafoods.com
Equity Fund,Carolyn Simmons,Supernatural Kitchen,Supernatural Kitchen - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43794,43794,,Other Referral,,supernaturalkitchen.com
Equity Fund,Carolyn Simmons,mele,mele - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43794,43794,,Manual,,meleshake.com
Equity Fund,Carolyn Simmons,Craftmix,Craftmix - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43794,43794,,Inbound,,craftmix.co
Equity Fund,Carolyn Simmons,The Blinkbar,The Blinkbar - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43794,43794,,Inbound,,theblinkbar.com
Equity Fund,Carolyn Simmons,Because Animals,Because Animals - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43794,43794,,Manual,,becauseanimals.com
Equity Fund,Carolyn Simmons,Fronen,fronen - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,,,eatfronen.com
Equity Fund,Carolyn Simmons,Lady Suite,Lady Suite - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,Helio,,ladysuitebeauty.com
Equity Fund,Carolyn Simmons,apura farms,apura farms - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,Helio,,apurafarms.com
Equity Fund,Carolyn Simmons,Fishski Provisions,Fishski Provisions - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,Helio,,fishskiprovisions.com
Equity Fund,Carolyn Simmons,Troop,Troop - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,,,drinktroop.com
Equity Fund,Carolyn Simmons,Northern Fir Beard Co.,Northern Fir Beard Co. - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,Helio,,northernfirbeard.com
Equity Fund,Carolyn Simmons,Cocoburg,Cocoburg - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,Helio,,coconutjerky.net
Equity Fund,Carolyn Simmons,Mineral,Mineral - November 2019,Closed Passed,Q4-2019,,1/0/00,0,43795,43795,,,,mineralhealth.co
Equity Fund,Carolyn Simmons,RifRaf,RifRaf - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43801,43801,,,,rifraf.com
Equity Fund,Carolyn Simmons,Gabriella's Kitchen,Gabriella's Kitchen - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43801,43801,,,,gabriellas-kitchen.com
Equity Fund,Carolyn Simmons,Phasey,Phasey - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43801,43801,,,,phasey.co
Equity Fund,Carolyn Simmons,Pollynation Apothecary,Pollynation Apothecary - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43802,43802,,Helio,,pollynationapothecary.com
Equity Fund,Carolyn Simmons,Rude Cosmetics,Rude Cosmetics - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43802,43802,,Helio,,rudecosmetics.com
Equity Fund,Carolyn Simmons,Dr. Cowan's Garden,Dr. Cowan's Garden - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43802,43802,,Website,,drcowansgarden.com
Equity Fund,Carolyn Simmons,Le Grand Courtage,Le Grand Courtage - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43802,43802,,Helio,,legrandcourtage.com
Equity Fund,Carolyn Simmons,Diaspora Co.,Diaspora Co. - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43802,43802,,,,diasporaco.com
Equity Fund,Carolyn Simmons,Hari Mari,Hari Mari - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43803,43803,,Inbound,,harimari.com
Equity Fund,Carolyn Simmons,Lil Bucks,Lil Bucks - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43803,43803,,,,lovelilbucks.com
Equity Fund,Carolyn Simmons,Neely & Chloe,Neely & Chloe - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43803,43803,,Investor Referral,,neelyandchloe.com
Equity Fund,Carolyn Simmons,Milkadamia,Milkadamia - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43803,43803,,Helio,,milkadamia.com
Equity Fund,Carolyn Simmons,Taste Beauty,Taste Beauty - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43805,43805,,Helio,,taste-beauty.com
Equity Fund,Carolyn Simmons,27-rosiers,27-rosiers - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43808,43808,,,,27rosiers.com
Equity Fund,Carolyn Simmons,Burlap & Barrell,Burlap & Barrell - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43808,43808,,Helio,,burlapandbarrel.com
Equity Fund,Carolyn Simmons,Gaffer & Child,Gaffer & Child - December 2019,Closed Lost,Q4-2019,,1/0/00,0,43808,43808,,,,gafferandchild.com
Equity Fund,Carolyn Simmons,Bear's Fruit Kombucha,Bear's Fruit Kombucha - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43809,43809,,Helio,,bearsfruit.com
Equity Fund,Carolyn Simmons,Green Mustache,Green Mustache - December 2019,Closed Lost,Q4-2019,,1/0/00,0,43809,43809,,,,getgreenmustache.com
Equity Fund,Carolyn Simmons,Uplift Food,Uplift Food - December 2019,Closed Lost,Q4-2019,,1/0/00,0,43810,43810,,,,upliftfood.com
Equity Fund,Carolyn Simmons,Honey Mama's,Honey Mama's - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43810,43810,,Helio,,honeymamas.com
Equity Fund,Carolyn Simmons,Polkadog Bakery,Polkadog Bakery - December 2019,Closed Lost,Q4-2019,,1/0/00,0,43811,43811,,Helio,,polkadog.com
Equity Fund,Carolyn Simmons,KHUS+KHUS_herbal,KHUS+KHUS_herbal - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43811,43811,,Helio,,khus-khus.com
Equity Fund,Carolyn Simmons,Kiito,Kiito - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43815,43815,,Other Referral,,drinkkiito.com
Equity Fund,Carolyn Simmons,eboost,eboost - December 2019,Closed Lost,Q4-2019,,1/0/00,0,43815,43815,,Helio,,eboost.com
Equity Fund,Carolyn Simmons,Isla Beauty,Isla Beauty - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43815,43815,,Investor Referral,,islabeauty.com
Equity Fund,Carolyn Simmons,Kalahari Biltong,Kalahari Biltong - December 2019,Closed Lost,Q4-2019,,1/0/00,0,43816,43816,,Helio,,eatbiltong.com
Equity Fund,Carolyn Simmons,LoveBug Probiotics,LoveBug Probiotics - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43817,43817,,Inbound,,lovebugprobiotics.com
Equity Fund,Carolyn Simmons,Volition Beauty,Volition Beauty - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43817,43817,,Helio,,volitionbeauty.com
Equity Fund,Carolyn Simmons,Hatch Collection,Hatch Collection - December 2019,Closed Passed,Q4-2019,,1/0/00,0,43819,43819,,Manual,,hatchcollection.com
Equity Fund,Carolyn Simmons,Corpus Naturals,Corpus Naturals - November 2019,Closed Passed,Q4-2019,,1/0/00,57,43830,43773,,Helio,,corpusnaturals.com
Equity Fund,Carolyn Simmons,Divvies,Divvies - November 2019,Closed Passed,Q4-2019,,1/0/00,60,43830,43770,,Inbound,,divvies.com
Equity Fund,Carolyn Simmons,Spiceology,Spiceology - November 2019,Closed Passed,Q4-2019,,1/0/00,60,43830,43770,,,,spiceology.co
Equity Fund,Carolyn Simmons,evolution_18,evolution_18 - October 2019,Closed Lost,Q4-2019,,1/0/00,63,43830,43767,,Helio,,evolution18.com
Equity Fund,Carolyn Simmons,Regatta,Regatta - October 2019,Closed Passed,Q4-2019,,1/0/00,62,43830,43768,,,,regattacraftmixers.com
Equity Fund,Carolyn Simmons,Margaux,Margaux - November 2019,Closed Passed,Q4-2019,,1/0/00,57,43830,43773,,Inbound,,margauxny.com
Equity Fund,Carolyn Simmons,Collective Laboratories,Collective Labs - November 2019,Closed Passed,Q4-2019,,1/0/00,42,43830,43788,,Manual,,collectivelaboratories.com
Equity Fund,Carolyn Simmons,Kreyol Essence,Kreyol Essence - December 2019,Closed Passed,Q4-2019,,1/0/00,14,43830,43816,,Inbound,,kreyolessence.com
Equity Fund,Carolyn Simmons,Peachy,Peachy - October 2019,Closed Passed,Q4-2019,,1/0/00,64,43830,43766,,,,peachystudio.com
Equity Fund,Carolyn Simmons,Waku,Waku - December 2019,Closed Passed,Q4-2019,,1/0/00,29,43830,43801,,Manual,,livewaku.com
Equity Fund,Carolyn Simmons,Barn & Willow,Barn & Willow - December 2019,Closed Passed,Q4-2019,,1/0/00,19,43830,43811,,Investor Referral,,barnandwillow.com
Equity Fund,Carolyn Simmons,OliPOP,OliPOP - December 2019,Closed Passed,Q4-2019,,1/0/00,21,43830,43809,,Helio,,drinkolipop.com
Equity Fund,Carolyn Simmons,Costa Brazil,Costa Brazil - October 2019,Closed Passed,Q4-2019,,1/0/00,89,43830,43741,,Manual,,livecostabrazil.com
Equity Fund,Carolyn Simmons,Yuni Beauty,Yuni Beauty - October 2019,Closed Passed,Q4-2019,,1/0/00,74,43830,43756,,Helio,,yunibeauty.com
Equity Fund,Carolyn Simmons,Alpha Foods,Alpha Foods - October 2019,Closed Lost,Q4-2019,,1/0/00,76,43830,43754,,Helio,,alphaplantbased.com
Equity Fund,Carolyn Simmons,Detox Water,Detox Water - October 2019,Closed Passed,Q4-2019,,1/0/00,75,43830,43755,,Helio,,detoxwater.com
Equity Fund,Carolyn Simmons,The Better Skin Co.,The Better Skin Co. - September 2019,Closed Passed,Q4-2019,,1/0/00,104,43830,43726,,Relationship / Past CircleUp Company,,thebetterskinco.com
Equity Fund,Carolyn Simmons,Wholly Veggie,WhollyVeggie - September 2019,Closed Passed,Q4-2019,,1/0/00,104,43830,43726,,Helio,,whollyveggie.com
Equity Fund,Carolyn Simmons,Under Luna,Under Luna - September 2019,Closed Lost,Q4-2019,,1/0/00,103,43830,43727,,Helio,,underluna.com
Equity Fund,Carolyn Simmons,O'o Hawaii,O'o Hawaii - September 2019,Closed Passed,Q4-2019,,1/0/00,109,43830,43721,,Inbound,,oohawaii.com
Equity Fund,Carolyn Simmons,Rahua,Rahua - September 2019,Closed Lost,Q4-2019,,1/0/00,103,43830,43727,,,,rahua.com
Equity Fund,Carolyn Simmons,Jilz Crackers,Jilz Crackers - September 2019,Closed Passed,Q4-2019,,1/0/00,102,43830,43728,,Helio,,jilzglutenfree.com
